Title,Platform,Genre,Publisher,VGScore,CriticScore,UserScore,TotalShipped,AsianSales,NorthAmericaSales,JapanSales,EuropeSales,GlobalSales,ProductionCost,ReleaseYear_v1,Developer,MultipleGenre,MetaScore,AvgUserScore,NoOfPlayers,releasedate_1986-2023,releasedate_VGOutput,releasedate_raw,ReleaseDate,releasedate_link,ReleaseYear,ReleaseMonth,EndOfMonth,ReleaseQuarter,ReleaseWeekDay,ReleaseWeekend,ReleaseWeek
Samurai Shodown (PSP),PS,Fighting,Frontier Developments,10,10,5,78,5.11,1.07,5.07,2.03,13.28,5.48,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Samurai Shodown (PSP) PS release date,,,,,,,
Samurai Shodown Anthology,PS,Fighting,IBM,4,4,1,211,2.22,6.76,1.55,4.99,15.52,5.74,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Samurai Shodown Anthology PS release date,,,,,,,
Samurai Shodown Anthology,PS2,Fighting,Sony Computer Entertainment,3,10,2,25,3,0.07,2.73,0.06,3.01,3.18,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Samurai Shodown Anthology PS2 release date,,,,,,,
Samurai Shodown Anthology (JP sales),PS2,Fighting,Ubisoft,2,2,6,43,3,6.53,0.01,2.06,8.61,7.01,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Samurai Shodown Anthology (JP sales) PS2 release date,,,,,,,
Samurai Shodown V,PS2,Fighting,Electronic Arts,5,6,10,143,2.09,1.9,2.08,4.73,10.8,5.41,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Samurai Shodown V PS2 release date,,,,,,,
Samurai Spirits Tenkaichi Kenkakuden,PS2,Fighting,Omega,6,2,2,80,3,3.84,0.03,3.03,6.93,5.27,2020,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Samurai Spirits Tenkaichi Kenkakuden PS2 release date,,,,,,,
Samurai Warriors 4,PS3,Fighting,Ubisoft,6,6,1,224,3,5.93,0.26,3.35,9.8,3.73,2014,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Samurai Warriors 4 PS3 release date,,,,,,,
Sankei Sports Kanshuu Keiba Ryoku Nintei Shiken Baken DS,DS,Sports,Frontier Developments,7,6,6,275,2.89,4.25,5.65,3.89,16.68,2.19,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sankei Sports Kanshuu Keiba Ryoku Nintei Shiken Baken DS DS release date,,,,,,,
Santa Claus is Comin to Town ,DS,Puzzle,Sony Computer Entertainment,9,5,7,101,3,0.06,1.73,1.24,3.09,4.1,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Santa Claus is Comin to Town  DS release date,,,,,,,
Sarah Keeper of the Unicorn,DS,Adventure,Frontier Developments,9,8,10,300,3,0.01,2.96,2.57,5.56,6.47,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sarah Keeper of the Unicorn DS release date,,,,,,,
Saru Get You Pipo Saru Racer,PS,Racing,Electronic Arts,8,1,5,12,7.93,7.04,3.83,3.16,21.96,6.26,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Saru Get You Pipo Saru Racer PS release date,,,,,,,
Saru Saru DS,DS,Simulation,Activision,5,10,4,29,1.68,2.47,5.24,3.77,13.16,1.32,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Saru Saru DS DS release date,,,,,,,
SAS Anti Terror Force,PS2,Shooter,Frontier Developments,6,3,7,288,5.63,3.76,2.01,1.34,12.74,3.34,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SAS Anti Terror Force PS2 release date,,,,,,,
SAS Secure Tomorrow,PC,Shooter,IBM,5,3,9,249,7.36,3.84,3.96,1.35,16.51,3.74,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SAS Secure Tomorrow PC release date,,,,,,,
Saturday Night Speedway,PC,Racing,Amazon Game Studios,9,10,2,72,1,4.21,3.39,6.6,15.2,3.18,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Saturday Night Speedway PC release date,,,,,,,
Saturday Night Speedway,PS2,Racing,Sony Computer Entertainment,2,1,10,97,3,0.1,1.24,0.08,1.62,4.35,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Saturday Night Speedway PS2 release date,,,,,,,
Savage Skies,PC,Shooter,Ubisoft,10,3,5,74,4.17,4.38,4.52,4.98,18.05,3.35,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Savage Skies PC release date,,,,,,,
Savage Skies,PS2,Shooter,Sony Computer Entertainment,7,5,4,108,3,0.04,5.56,0.03,5.72,3.65,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Savage Skies PS2 release date,,,,,,,
SBK Snowboard Kids,DS,Sports,Electronic Arts,2,1,9,262,3,0.02,4.29,4.52,8.85,1.86,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SBK Snowboard Kids DS release date,,,,,,,
SBK Superbike World Championship,PS3,Racing,Activision,8,5,6,46,3,0.12,1.33,0.11,1.81,2.81,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SBK Superbike World Championship PS3 release date,,,,,,,
SBK Superbike World Championship,PS2,Racing,Frontier Developments,2,7,6,80,3,0.01,1.3,0.01,1.34,3.82,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SBK Superbike World Championship PS2 release date,,,,,,,
SBK X Superbike World Championship,PS3,Racing,Frontier Developments,6,2,9,76,3,0.05,3.3,0.13,3.69,3.3,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SBK X Superbike World Championship PS3 release date,,,,,,,
SBK09 Superbike World Championship,PS2,Racing,Electronic Arts,3,6,10,14,7,1.35,5.6,6.92,20.87,2.79,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SBK09 Superbike World Championship PS2 release date,,,,,,,
SBK09 Superbike World Championship,PC,Racing,Ubisoft,10,2,1,17,3.09,1.77,3.23,6.6,14.69,4.2,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SBK09 Superbike World Championship PC release date,,,,,,,
SBK09 Superbike World Championship,PS3,Racing,Amazon Game Studios,1,10,9,86,3,4.43,2.85,0.01,7.3,2.81,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SBK09 Superbike World Championship PS3 release date,,,,,,,
Scared Rider Xechs,PS2,Adventure,IBM,10,10,2,242,3,4.78,0.02,6.07,10.89,4.06,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scared Rider Xechs PS2 release date,,,,,,,
Scared Rider Xechs Stardust Lovers,PS2,Adventure,Amazon Game Studios,7,5,1,174,2.08,2.01,1.63,6.68,12.4,0.04,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scared Rider Xechs Stardust Lovers PS2 release date,,,,,,,
Scarface The World is Yours,PS2,Adventure,Ubisoft,3,8,1,283,1.19,0.99,4.88,0.04,7.1,4.82,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scarface The World is Yours PS2 release date,,,,,,,
Scarface The World is Yours,PC,Adventure,Electronic Arts,4,4,6,66,3,0.01,1.51,0.02,1.58,2.49,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scarface The World is Yours PC release date,,,,,,,
Scarlett Nichijou no Kyoukaisen,PS2,Adventure,Electronic Arts,1,3,10,78,3,4.92,0.01,1.62,6.56,1.13,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scarlett Nichijou no Kyoukaisen PS2 release date,,,,,,,
Schizm Mysterious Journey,PC,Adventure,Activision,5,1,7,27,7.3,3.32,3.32,5.36,19.3,1.16,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Schizm Mysterious Journey PC release date,,,,,,,
School Days LxH,PS2,Adventure,Amazon Game Studios,5,4,5,50,3,2.21,0.02,2.85,5.1,6.43,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=School Days LxH PS2 release date,,,,,,,
Schoolmate,PC,Adventure,Omega,3,8,6,25,7.7,1.99,5.18,5.01,19.88,5.13,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Schoolmate PC release date,,,,,,,
Schoolmate Sweets ,PC,Adventure,Electronic Arts,10,3,2,298,7.52,1.71,1.41,6.65,17.29,1.36,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Schoolmate Sweets  PC release date,,,,,,,
Scivelation,PS3,Shooter,Sony Computer Entertainment,5,2,2,278,7.43,4.71,3.64,4.53,20.31,1.37,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scivelation PS3 release date,,,,,,,
Scivelation,PC,Shooter,Amazon Game Studios,6,4,10,30,3.92,3.83,4.36,5.79,17.9,2.79,2017,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scivelation PC release date,,,,,,,
Scooby Doo  Show Down In Ghost Town,PC,Adventure,Sony Computer Entertainment,8,1,8,4,1.4,3.92,1.28,6.87,13.47,4.44,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scooby Doo  Show Down In Ghost Town PC release date,,,,,,,
Scooby Doo & Looney Tunes Cartoon Universe Adventure,PC,Adventure,IBM,7,4,4,140,4.8,5.12,1.22,5.81,16.95,1.15,2014,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scooby Doo & Looney Tunes Cartoon Universe Adventure PC release date,,,,,,,
Scooby Doo First Frights,PS2,Adventure,Ubisoft,3,9,1,151,3,0.14,3.22,0.03,3.72,0.02,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scooby Doo First Frights PS2 release date,,,,,,,
Scooby Doo First Frights,DS,Adventure,Electronic Arts,8,2,4,295,3,0.6,1.23,0.16,2.82,5.35,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scooby Doo First Frights DS release date,,,,,,,
Scooby Doo Mystery Mayhem,PS2,Adventure,Omega,3,7,6,148,3,0.22,5.28,0.17,6.12,6.5,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scooby Doo Mystery Mayhem PS2 release date,,,,,,,
Scooby Doo Whos Watching Who?,DS,Adventure,Activision,10,7,2,231,3,0.08,1.61,0.01,1.79,1.63,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scooby Doo Whos Watching Who? DS release date,,,,,,,
Scooby Doo and the Cyber Chase,PS,Adventure,Ubisoft,3,10,5,77,1.94,0.59,3.25,1.23,7.01,5.47,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scooby Doo and the Cyber Chase PS release date,,,,,,,
SCORE International Baja 1000 The Official Game,PC,Racing,Activision,6,3,9,228,5.02,3.85,3.94,5.25,18.06,5.41,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SCORE International Baja 1000 The Official Game PC release date,,,,,,,
SCORE International Baja 1000 The Official Game,PS2,Racing,Activision,7,2,5,76,3,2.9,4.55,2.36,9.82,1.78,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SCORE International Baja 1000 The Official Game PS2 release date,,,,,,,
SCORE International Baja 1000 The Official Game,PS3,Racing,Activision,2,2,1,286,3,0.07,1.49,2.08,3.72,2.48,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SCORE International Baja 1000 The Official Game PS3 release date,,,,,,,
Scorpion,PC,Shooter,Omega,8,4,7,102,3.24,6.86,4.27,1.86,16.23,4.94,2015,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scorpion PC release date,,,,,,,
Scrabble,DS,Puzzle,IBM,4,4,8,243,3,0.2,2.27,0.02,2.74,4.75,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scrabble DS release date,,,,,,,
Scrabble (Others sales),DS,Puzzle,Amazon Game Studios,10,5,1,30,3,1.19,4.1,0.24,5.77,5.08,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scrabble (Others sales) DS release date,,,,,,,
Scrabble 2007 Edition,DS,Puzzle,Ubisoft,10,7,9,47,3,2.82,1.35,0.48,5.13,5.56,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scrabble 2007 Edition DS release date,,,,,,,
Scrabble Junior,PC,Puzzle,Ubisoft,1,8,8,3,4.19,4.22,3.71,2.63,14.75,2.02,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scrabble Junior PC release date,,,,,,,
Scratches,PC,Adventure,IBM,9,6,3,275,3,3.37,4.22,0.01,7.61,5.59,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scratches PC release date,,,,,,,
Screamer 4x4,PC,Racing,Electronic Arts,2,5,4,152,4.66,4.16,3.85,2.43,15.1,1.68,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Screamer 4x4 PC release date,,,,,,,
Screamer Rally,PC,Racing,Frontier Developments,8,2,8,241,3.94,1.73,2.45,4.6,12.72,1.68,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Screamer Rally PC release date,,,,,,,
Screencheat,PC,Shooter,Electronic Arts,8,3,10,0.22,5.98,6.49,2.11,3.86,18.44,3.91,2014,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Screencheat PC release date,,,,,,,
Scribblenauts,DS,Puzzle,Omega,8.8,8.2,7,228,2.17,1.67,0.02,0.3,4.16,2.39,2009,5THCell,Miscellaneous;Puzzle;Action;Puzzle;General;Puzzle;General,79,7.6,1,,#N/A,September 15 2009,15/9/2009,https://www.google.com/search?q=Scribblenauts DS NA release date,2009,9,No,3,2,Weekday,38
Scribblenauts Unlimited,PC,Puzzle,Frontier Developments,6,8.8,5,1.3,7.42,4.22,1.11,5.64,18.39,5.97,2012,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scribblenauts Unlimited PC release date,,,,,,,
Scribblenauts Mega Pack,PS4,Adventure,Sony Computer Entertainment,10,1,10,163,3,0.03,5.09,5.75,10.91,5.34,2018,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scribblenauts Mega Pack PS4 release date,,,,,,,
Scripps Spelling Bee,DS,Simulation,Omega,7,6,5,36,3,0.14,2.8,2.76,5.85,5.08,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Scripps Spelling Bee DS release date,,,,,,,
SD Gundam Eiyuden Daikessen  Knight vs Musha,PS,Fighting,Activision,6,1,10,217,7.42,1.24,4.72,5.99,19.37,3.71,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SD Gundam Eiyuden Daikessen  Knight vs Musha PS release date,,,,,,,
SD Gundam Force Showdown ,PS2,Shooter,Activision,2,8,8,211,3,0.02,4.25,0.01,4.32,4.74,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SD Gundam Force Showdown  PS2 release date,,,,,,,
Sea Dogs,PC,Simulation,Sony Computer Entertainment,1,6,3,283,2.57,3.75,4.21,5.45,15.98,2.35,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea Dogs PC release date,,,,,,,
Sea Doo HydroCross,PS,Racing,Electronic Arts,5,1,9,265,3.36,1.44,3.11,6.07,13.98,0.05,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea Doo HydroCross PS release date,,,,,,,
Sea Dragon,PC,Shooter,Activision,7,9,1,255,5.13,6.2,3.74,6.68,21.75,4.14,2013,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea Dragon PC release date,,,,,,,
Sea Monsters A Prehistoric Adventure,PS2,Adventure,Activision,4,9,3,236,5.14,2.81,3.41,5.29,16.65,5.72,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea Monsters A Prehistoric Adventure PS2 release date,,,,,,,
Sea Monsters A Prehistoric Adventure,DS,Adventure,Electronic Arts,6,3,8,158,3,0.01,3.62,1.51,5.15,5.01,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea Monsters A Prehistoric Adventure DS release date,,,,,,,
Sea of Solitude,PC,Adventure,Ubisoft,10,7,4,36,6.95,4.83,2.51,4.29,18.58,1.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea of Solitude PC release date,,,,,,,
Sea of Solitude,PS4,Adventure,Amazon Game Studios,8,5,6,26,1.42,4.51,5.67,6.33,17.93,4.85,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea of Solitude PS4 release date,,,,,,,
Sea Park Tycoon,DS,Simulation,Frontier Developments,9,10,9,254,3,0.02,3.41,0.01,3.47,2.86,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sea Park Tycoon DS release date,,,,,,,
Seaman Kanzenban,PS2,Simulation,Amazon Game Studios,8,1,1,168,4.88,2.69,3.42,6.55,17.54,1.98,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Seaman Kanzenban PS2 release date,,,,,,,
Seaman Kindan no Pet  Gaze Hakushi no Jikken Shima,PS2,Simulation,Amazon Game Studios,5,1,1,14,3,3.82,0.32,4.55,9.01,4.71,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Seaman Kindan no Pet  Gaze Hakushi no Jikken Shima PS2 release date,,,,,,,
Seaman 2 Peking Genjin Ikusei Kit,PS2,Simulation,Electronic Arts,6,10,6,45,3,2.57,0.06,5.21,7.9,5.72,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Seaman 2 Peking Genjin Ikusei Kit PS2 release date,,,,,,,
Season of Mystery The Cherry Blossom Murders,PC,Adventure,Frontier Developments,3,7,2,225,7.65,4.08,4.08,4.84,20.65,3.89,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Season of Mystery The Cherry Blossom Murders PC release date,,,,,,,
SeaWorld Adventure Parks Shamus Deep Sea Adventure,DS,Adventure,Sony Computer Entertainment,8,9,2,278,3,0.05,4.16,1.82,6.08,0.03,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SeaWorld Adventure Parks Shamus Deep Sea Adventure DS release date,,,,,,,
SeaWorld Adventure Parks Shamus Deep Sea Adventure,PS2,Adventure,Frontier Developments,7,9,1,230,3,0.08,3.11,0.06,3.41,5.59,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=SeaWorld Adventure Parks Shamus Deep Sea Adventure PS2 release date,,,,,,,
Second Novel Kanojo no Natsu 15 Bun no Kioku,PS,Adventure,IBM,10,1,7,11,6.46,4.9,2.26,2.69,16.31,2.22,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Second Novel Kanojo no Natsu 15 Bun no Kioku PS release date,,,,,,,
Second Sight,PC,Adventure,IBM,2,7,7,200,1.52,3.22,1.69,4.08,10.51,2.93,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Second Sight PC release date,,,,,,,
Second Sight,PS2,Adventure,Sony Computer Entertainment,8,7.9,6,240,3,0.07,4.67,0.05,4.93,4.97,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Second Sight PS2 release date,,,,,,,
Secret Files Tunguska,PC,Adventure,Amazon Game Studios,6,2,6,206,3,6.88,4.05,0.04,11.01,3.94,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secret Files Tunguska PC release date,,,,,,,
Secret Files Tunguska,DS,Adventure,Frontier Developments,8,3,1,167,3,0.04,1.33,0.01,1.43,4.26,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secret Files Tunguska DS release date,,,,,,,
Secret Files 2 Puritas Cordis,DS,Adventure,Frontier Developments,5,4,3,189,3,3.85,5.92,0.01,9.79,1.47,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secret Files 2 Puritas Cordis DS release date,,,,,,,
Secret Files 2 Puritas Cordis,PC,Adventure,Frontier Developments,5,8,1,66,3,4.2,4.86,0.03,9.13,1.72,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secret Files 2 Puritas Cordis PC release date,,,,,,,
Secret of Evangelion,PS2,Adventure,Frontier Developments,10,6,4,261,6.56,2.82,4.06,5.71,19.15,1.08,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secret of Evangelion PS2 release date,,,,,,,
Secret of Evangelion,PC,Adventure,Electronic Arts,4,4,8,115,2.44,1,3.07,3.45,9.96,7.52,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secret of Evangelion PC release date,,,,,,,
Secret Weapons Over Normandy,PC,Simulation,Sony Computer Entertainment,10,6,5,284,4.45,4.06,4.77,6.51,19.79,2.3,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secret Weapons Over Normandy PC release date,,,,,,,
Secret Weapons Over Normandy,PS2,Simulation,Omega,10,2,10,84,3,0.24,4.15,0.18,5.05,2.97,2003,TotallyGames,Simulation;Flight;WWII,81,8.2,1 to 2,,#N/A,November 18 2003,18/11/2003,https://www.google.com/search?q=Secret Weapons Over Normandy PS2 NA release date,2003,11,No,4,2,Weekday,47
Secrets of the Ark A Broken Sword Game,PC,Adventure,Electronic Arts,10,4,4,56,5.56,3.55,1.64,3.85,14.6,4.25,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secrets of the Ark A Broken Sword Game PC release date,,,,,,,
Secrets of the Vatican The Holy Lance,PC,Adventure,Sony Computer Entertainment,2,1,6,220,6.76,1.09,3.36,4.81,16.02,3,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Secrets of the Vatican The Holy Lance PC release date,,,,,,,
Section 8,PC,Shooter,Omega,3,9,9,41,3,0.03,1.26,0.01,1.35,5.31,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Section 8 PC release date,,,,,,,
Section 8 Prejudice,PS3,Shooter,Ubisoft,8,6.8,6,85,5.39,6.66,3.66,5.7,21.41,4.07,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Section 8 Prejudice PS3 release date,,,,,,,
Section 8 Prejudice,PC,Shooter,Electronic Arts,6,7.6,5,188,6.53,3.26,4.32,3.92,18.03,5.95,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Section 8 Prejudice PC release date,,,,,,,
Section 8 Prejudice,PS,Shooter,Omega,6,9,9,140,2.02,7.66,3.09,3.04,15.81,1.82,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Section 8 Prejudice PS release date,,,,,,,
Section 8 Prejudice  Frontier Colonies Map Pack,PS3,Shooter,Omega,3,10,9,123,1.89,2.33,4.61,2.89,11.72,3.68,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Section 8 Prejudice  Frontier Colonies Map Pack PS3 release date,,,,,,,
Seduce Me,PC,Adventure,Omega,8,9,3,126,4.81,4.33,1.44,1.38,11.96,1.98,2015,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Seduce Me PC release date,,,,,,,
Seek and Destroy,PS2,Racing,IBM,10,5.6,2,64,1.06,0.52,2,0.4,3.98,4.5,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Seek and Destroy PS2 release date,,,,,,,
Sega Ages 2500 Series Vol. 10 After Burner II,PS2,Shooter,Electronic Arts,6,6,9,115,4.86,5.94,4.8,3.95,19.55,5.69,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sega Ages 2500 Series Vol. 10 After Burner II PS2 release date,,,,,,,
Sega Ages 2500 Series Vol. 12 Puyo Puyo Tsuu Perfect Set,PS2,Puzzle,Ubisoft,9,3,6,280,6.97,7.25,3.21,3.7,21.13,3.87,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Sega Ages 2500 Series Vol. 12 Puyo Puyo Tsuu Perfect Set PS2 release date,,,,,,,
